Slit_separation_fs,Delay_fs,Reflectivity,Series
-1450.0,218107.044975351,0.000421986826477952,model
-1450.0,218226.33507993902,0.000530350325379315,model
-1450.0,218345.625184526,0.000714642159837292,model
-1450.0,218464.915289114,0.00079000858798025,model
-1450.0,218584.20539370202,0.000683430514449565,model
-1450.0,218703.495498289,0.000518757163156995,model
-1450.0,218822.785602877,0.000489637553935917,model
-1450.0,218942.075707464,0.000650041035623764,model
-1450.0,219061.36581205198,0.000848759324424041,model
-1450.0,219180.65591664,0.00088602828530395,model
-1450.0,219299.946021227,0.000730843571954958,model
-1450.0,219419.236125815,0.000562894783946683,model
-1450.0,219538.526230402,0.000585003486977832,model
-1450.0,219657.81633499003,0.000801208759007373,model
-1450.0,219777.106439578,0.00100274403654813,model
-1450.0,219896.396544165,0.000987536656095526,model
-1450.0,220015.686648753,0.000782943766988114,model
-1450.0,220134.97675334004,0.000627148976002965,model
-1450.0,220254.266857928,0.000717255125680505,model
-1450.0,220373.556962516,0.000990072532817464,model
-1450.0,220492.84706710302,0.00117843773800053,model
-1450.0,220612.137171691,0.00109540088689782,model
-1450.0,220731.427276278,0.000844823503678623,model
-1450.0,220850.717380866,0.000722087132816093,model
-1450.0,220970.007485454,0.000898260055675983,model
-1450.0,221089.297590041,0.00122423065110407,model
-1450.0,221208.587694629,0.00137818663577968,model
-1450.0,221327.877799216,0.00121194166030661,model
-1450.0,221447.167903804,0.000924819676602003,model
-1450.0,221566.45800839202,0.000862774487547193,model
-1450.0,221685.748112979,0.00114360352403928,model
-1450.0,221805.038217567,0.00151322267974913,model
-1450.0,221924.328322154,0.00160544367147064,model
-1450.0,222043.618426742,0.00134187870013536,model
-1450.0,222162.90853133,0.00103640726184261,model
-1450.0,222282.198635917,0.00107078686940918,model
-1450.0,222401.48874050498,0.00147441340011771,model
-1450.0,222520.77884509202,0.00186946654987431,model
-1450.0,222640.06894968002,0.00186557447608788,model
-1450.0,222759.359054268,0.00149406994372986,model
-1450.0,222878.649158855,0.00120122473403826,model
-1450.0,222997.939263443,0.00137803081567362,model
-1450.0,223117.22936803004,0.00192003897040333,model
-1450.0,223236.519472618,0.0023097636883667,model
-1450.0,223355.809577206,0.00216706262017718,model
