freq_THz,vg_m_per_s,lambda_geom_inv_s
216.45,173701980.40462485,106892113707.92485
216.5,172778972.3491299,107463145475.73705
216.55,171859349.44943026,108038182968.72093
216.6,170943112.9717975,108617255869.01048
216.65,170030264.22566015,109200393972.57372
216.7,169120804.56353354,109787627185.32182
216.75,168214735.38129812,110378985518.81079
216.8,167312058.11764088,110974499086.2987
216.85,166412774.25402364,111574198098.28067
216.9,165516885.31447858,112178112857.94365
216.95,164624392.865602,112786273756.29045
217.0,163735298.51614052,113398711267.33604
217.05,162849603.91685426,114015455942.91278
217.1,161967310.76070255,114636538407.03156
217.15,161088420.78196603,115261989350.76732
217.2,160212935.7566051,115891839526.05661
217.25,159340857.5017726,116526119739.85603
217.3,158472187.87553784,117164860847.92043
217.35,157606928.77690268,117808093748.12172
217.4,156745082.14518577,118455849373.98413
217.45,155886649.96005517,119108158687.48639
217.5,155031634.24117416,119765052671.88667
217.55,154180037.04789013,120426562324.24986
217.6,153331860.4787772,121092718647.81697
217.65,152487106.67158628,121763552643.77673
217.7,151645777.80280095,122439095303.05399
217.75,150807876.08725506,123119377597.75958
217.8,149973403.77802154,123804430472.11765
217.85,149142363.16561627,124494284833.64323
217.9,148314756.57789716,125188971543.442
217.95,147490586.3797075,125888521406.3905
218.0,146669854.97247994,126592965161.01921
218.05,145852564.79352215,127302333469.33601
218.1,145038718.315897,128016656905.7982
218.15,144228318.04789877,128735965946.27554
218.2,143421366.53247452,129460290956.70856
218.25,142617866.3467976,130189662181.2686
218.3,141817820.1018109,130924109730.16925
218.35,141021230.4415552,131663663567.29492
218.4,140228100.04287073,132408353497.09831
218.45,139438431.61467314,133158209151.49368
218.5,138652227.89734143,133913259976.24963
218.55,137869491.66215077,134673535216.92996
218.6,137090225.71080625,135439063904.31529
218.65,136314432.8746805,136209874839.68517
218.7,135542116.01398587,136985996579.74223
218.75,134773278.01744235,137767457420.60162
218.8,134007921.80143479,138554285381.837
218.85,133246050.30906932,139346508190.1877
218.9,132487666.50977556,140144153262.24277
218.95,131732773.39832011,140947247687.26132
219.0,130981373.9940523,141755818209.2823
219.05,130233471.34022398,142569891208.66785
219.1,129489068.50286452,143389492683.64032
219.15,128748168.57014324,144214648230.7996
219.2,128010774.65149406,145045383025.3904
219.25,127276889.87645756,145881721801.38498
219.3,126546517.39404488,146723688830.4652
219.35,125819660.37148577,147571307901.18375
219.4,125096321.99336113,148424602297.16638
219.45,124376505.46071938,149283594774.79327
219.5,123660213.98971765,150148307540.91022
219.55,122947450.81063756,151018762229.56567
219.6,122238219.16686101,151894979878.2453
219.65,121532522.31370786,152776980903.72513
219.7,120830363.51724698,153664785077.40848
219.75,120131746.05289568,154558411500.38245
219.8,119436673.20438656,155457878577.45663
219.85,118745148.26253644,156363203990.88522
219.9,118057174.52377126,157274404673.84964
219.95,117372755.28876942,158191496783.23584
220.0,116691893.86123237,159114495671.67737
220.05,116014593.54646915,160043415859.2799
220.1,115340857.64972802,160978271005.13742
220.15,114670689.4748973,161919073877.78897
220.2,114004092.32312602,162865836325.21457
220.25,113341069.49095628,163818569244.9675
220.3,112681624.26875862,164777282553.3432
220.35,112025759.93936895,165741985153.7004
220.4,111373479.77627856,166712684904.8813
220.45,110724787.04178303,167689388589.1722
220.5,110079684.98539588,168672101879.34497
220.55,109438176.84212014,169660829305.3796
220.6,108800265.83045211,170655574221.08862
220.65,108165955.15052922,171656338770.02795
220.7,107535247.98240016,172663123850.71857
220.75,106908147.4839636,173675929081.9068
220.8,106284656.78886832,174694752767.4337
