separation_fs,V_standard,V_enz_1500nm
1.112060301507537588e+03,3.288806692336519455e-01,1.210754253755794152e-02
1.121608040201004769e+03,3.257555452165373233e-01,1.165729618271861730e-02
1.131155778894472178e+03,3.226601170770947435e-01,1.122379325697872750e-02
1.140703517587939587e+03,3.195941026360747950e-01,1.080641111805590721e-02
1.150251256281406995e+03,3.165572223955804843e-01,1.040455027802939143e-02
1.159798994974874176e+03,3.135491995135887278e-01,1.001763354229268620e-02
1.169346733668341585e+03,3.105697597787137609e-01,9.645105180526280728e-03
1.178894472361808994e+03,3.076186315852093567e-01,9.286430128499601616e-03
1.188442211055276175e+03,3.046955459082097972e-01,8.941093219555695457e-03
1.197989949748743584e+03,3.018002362792053250e-01,8.608598444675019321e-03
1.207537688442210992e+03,2.989324387617507406e-01,8.288468240055290107e-03
1.217085427135678401e+03,2.960918919274053707e-01,7.980242801184422863e-03
1.226633165829145582e+03,2.932783368319009099e-01,7.683479422421125860e-03
1.236180904522612991e+03,2.904915169915359141e-01,7.397751861134702761e-03
1.245728643216080400e+03,2.877311783597952810e-01,7.122649725490782027e-03
1.255276381909547581e+03,2.849970693041910530e-01,6.857777885003624001e-03
1.264824120603014990e+03,2.822889405833233223e-01,6.602755903008308835e-03
1.274371859296482398e+03,2.796065453241599053e-01,6.357217490237794880e-03
1.283919597989949580e+03,2.769496389995312335e-01,6.120809978719969277e-03
1.293467336683416988e+03,2.743179794058389076e-01,5.893193815238891714e-03
1.303015075376884397e+03,2.717113266409768024e-01,5.674042073633017887e-03
1.312562814070351578e+03,2.691294430824616724e-01,5.463039985229577004e-03
1.322110552763818987e+03,2.665720933657710345e-01,5.259884486740846674e-03
1.331658291457286396e+03,2.640390443628876649e-01,5.064283784972947039e-03
1.341206030150753577e+03,2.615300651610474869e-01,4.875956937721922548e-03
1.350753768844220986e+03,2.590449270416899652e-01,4.694633450255104173e-03
1.360301507537688394e+03,2.565834034596073954e-01,4.520052886798297219e-03
1.369849246231155576e+03,2.541452700222937011e-01,4.351964496470628330e-03
1.379396984924622984e+03,2.517303044694885195e-01,4.190126853129891998e-03
1.388944723618090393e+03,2.493382866529159358e-01,4.034307508611063853e-03
1.398492462311557574e+03,2.469689985162158707e-01,3.884282658859889142e-03
1.408040201005024983e+03,2.446222240750660082e-01,3.739836822482096607e-03
1.417587939698492391e+03,2.422977493974925733e-01,3.600762531246435704e-03
1.427135678391959573e+03,2.399953625843685989e-01,3.466860032097114457e-03
1.436683417085426981e+03,2.377148537500967940e-01,3.337937000247519909e-03
1.446231155778894390e+03,2.354560150034765709e-01,3.213808262943254265e-03
1.455778894472361799e+03,2.332186404287528159e-01,3.094295533497614954e-03
1.465326633165828980e+03,2.310025260668444602e-01,2.979227155217615327e-03
1.474874371859296389e+03,2.288074698967513532e-01,2.868437854852653231e-03
1.484422110552763797e+03,2.266332718171384375e-01,2.761768505211773406e-03
1.493969849246230979e+03,2.244797336280943967e-01,2.659065896608556016e-03
1.503517587939698387e+03,2.223466590130635245e-01,2.560182516805285888e-03
1.513065326633165796e+03,2.202338535209495962e-01,2.464976339140477219e-03
1.522613065326632977e+03,2.181411245483900196e-01,2.373310618535291999e-03
1.532160804020100386e+03,2.160682813221976584e-01,2.285053695085944095e-03
1.541708542713567795e+03,2.140151348819701316e-01,2.200078804959965280e-03
1.551256281407034976e+03,2.119814980628643708e-01,2.118263898324727109e-03
1.560804020100502385e+03,2.099671854785343794e-01,2.039491464046679602e-03
1.570351758793969793e+03,2.079720135042314733e-01,1.963648360909567986e-03
1.579899497487436975e+03,2.059958002600652816e-01,1.890625655109184075e-03
1.589447236180904383e+03,2.040383655944232599e-01,1.820318463791206634e-03
1.598994974874371792e+03,2.020995310675481882e-01,1.752625804407494884e-03
1.608542713567838973e+03,2.001791199352717932e-01,1.687450449674362477e-03
1.618090452261306382e+03,1.982769571329023872e-01,1.624698787924586628e-03
1.627638190954773791e+03,1.963928692592661895e-01,1.564280688652521217e-03
1.637185929648240972e+03,1.945266845609002204e-01,1.506109373059241318e-03
1.646733668341708380e+03,1.926782329163948537e-01,1.450101289411736844e-03
1.656281407035175789e+03,1.908473458208858331e-01,1.396175993037172824e-03
1.665829145728642970e+03,1.890338563706933928e-01,1.344256030779831645e-03
1.675376884422110379e+03,1.872375992481071783e-01,1.294266829754774951e-03
1.684924623115577788e+03,1.854584107063158571e-01,1.246136590238468246e-03
1.694472361809045196e+03,1.836961285544801425e-01,1.199796182542492776e-03
1.704020100502512378e+03,1.819505921429473982e-01,1.155179047722263742e-03
1.713567839195979786e+03,1.802216423486066310e-01,1.112221101978087259e-03
1.723115577889447195e+03,1.785091215603830661e-01,1.070860644611317100e-03
1.732663316582914376e+03,1.768128736648703347e-01,1.031038269403343347e-03
1.742211055276381785e+03,1.751327440320988860e-01,9.926967792901620746e-04
1.751758793969849194e+03,1.734685795014402343e-01,9.557811042099660171e-04
1.761306532663316375e+03,1.718202283676446840e-01,9.202382220057594596e-04
1.770854271356783784e+03,1.701875403670118914e-01,8.860170822693813142e-04
1.780402010050251192e+03,1.685703666636927944e-01,8.530685330175656438e-04
1.789949748743718374e+03,1.669685598361219381e-01,8.213452500947248953e-04
1.799497487437185782e+03,1.653819738635781411e-01,7.908016692010301409e-04
1.809045226130653191e+03,1.638104641128736161e-01,7.613939204482068771e-04
1.818592964824120372e+03,1.622538873251690161e-01,7.330797653490026856e-04
1.828140703517587781e+03,1.607121016029140204e-01,7.058185361498501946e-04
1.837688442211055190e+03,1.591849663969118756e-01,6.795710774195832388e-04
1.847236180904522371e+03,1.576723424935070617e-01,6.542996898103092471e-04
1.856783919597989780e+03,1.561740920018944712e-01,6.299680759096562294e-04
1.866331658291457188e+03,1.546900783415492420e-01,6.065412881066310465e-04
1.875879396984924369e+03,1.532201662297763001e-01,5.839856783962032267e-04
1.885427135678391778e+03,1.517642216693777246e-01,5.622688500505148863e-04
1.894974874371859187e+03,1.503221119364376024e-01,5.413596110873119833e-04
1.904522613065326368e+03,1.488937055682231780e-01,5.212279294687509638e-04
1.914070351758793777e+03,1.474788723512003297e-01,5.018448899662452181e-04
1.923618090452261185e+03,1.460774833091636471e-01,4.831826526293840976e-04
1.933165829145728367e+03,1.446894106914786704e-01,4.652144127992843196e-04
1.942713567839195775e+03,1.433145279614362888e-01,4.479143626089306693e-04
1.952261306532663184e+03,1.419527097847177455e-01,4.312576539152165661e-04
1.961809045226130593e+03,1.406038320179689438e-01,4.152203626094410618e-04
1.971356783919597774e+03,1.392677716974836388e-01,3.997794542549968537e-04
1.980904522613065183e+03,1.379444070279942092e-01,3.849127510029039115e-04
1.990452261306532591e+03,1.366336173715685109e-01,3.705988997376583787e-04
2.000000000000000000e+03,1.353352832366127023e-01,3.568173414076555600e-04
