separation_fs,freq_THz,I_standard,I_coherence,I_amplitude
4.000000000000000000e+02,2.286666666667369157e+02,3.070845464317806858e-03,2.629346271114228750e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.288333333334036297e+02,3.012669375093265847e-03,3.413069153435600855e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.290000000000703437e+02,2.410388367566489512e-02,6.235497383178566916e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.291666666667370578e+02,8.082780022212916748e-02,1.237763664132374430e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.293333333334037718e+02,1.866089834918846502e-01,2.300380881805045574e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.295000000000704858e+02,3.462341313213866401e-01,3.847712417944595398e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.296666666667372283e+02,5.471611153009888762e-01,5.758168775973339093e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.298333333334039423e+02,7.554096370417781037e-01,7.716476027290528616e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.300000000000706564e+02,9.219291064041044148e-01,9.272622524042990477e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.301666666667373704e+02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+02,2.303333333334040844e+02,9.658103700479743203e-01,9.681612365215711558e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.305000000000707985e+02,8.299272695639620112e-01,8.413726711146434223e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.306666666667375409e+02,6.321362264599662550e-01,6.559255505773902151e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.308333333334042550e+02,4.230815261168512365e-01,4.581744795514484658e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.310000000000709690e+02,2.442307121430473960e-01,2.863698281734926576e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.311666666667376830e+02,1.166934295952923445e-01,1.604289129451174911e-01,0.000000000000000000e+00
4.000000000000000000e+02,2.313333333334043971e+02,4.167528762688522959e-02,8.220114381549727123e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.315000000000711111e+02,8.140929403045457993e-03,4.228909850107327728e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.316666666667378536e+02,1.334532375274934428e-03,2.771715477224276011e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.318333333334045676e+02,8.306273696846827939e-03,2.695384008124953809e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.320000000000712816e+02,1.994612459619062028e-02,3.180137174258838850e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.321666666667379957e+02,3.082384532771105870e-02,3.729694912239556182e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.323333333334047097e+02,3.824331961982986583e-02,4.088803229589732524e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.325000000000713953e+02,4.130525888266686069e-02,4.160284409579904225e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.326666666667381378e+02,4.021662863901410978e-02,3.943907944041553926e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.328333333334048518e+02,3.582160349805970506e-02,3.495319318900523553e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.330000000000715659e+02,2.927421751317713094e-02,2.897946984861456479e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.331666666667382799e+02,2.179717525408463030e-02,2.242750659028212856e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.333333333334049939e+02,1.450241268111900246e-02,1.613395929635745921e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.335000000000717080e+02,8.266524098274186452e-03,1.076041127297904659e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.336666666667384504e+02,3.659602812826712702e-03,6.734806399177713752e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.338333333334051645e+02,9.249453788905567754e-04,4.233711601045952837e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.340000000000718785e+02,3.533166045625004726e-06,3.200244652832049796e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.341666666667385925e+02,5.935130109246795037e-04,3.389785841300318233e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.343333333334053066e+02,2.232216295918717022e-03,4.433584444085987564e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.345000000000720206e+02,4.387121687750396466e-03,5.909535005508145637e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.346666666667387631e+02,6.542721184969563578e-03,7.409862758592006618e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.348333333334054771e+02,8.272340176934964498e-03,8.597112791382663030e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.350000000000721911e+02,9.287221076698376834e-03,9.242399970962159733e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.351666666667389052e+02,9.459098180304676556e-03,9.242950898743485660e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.353333333334056192e+02,8.816503877902550843e-03,8.619114740996336108e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.355000000000723333e+02,7.518615051046253356e-03,7.493816380389035740e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.356666666667390757e+02,5.813134818202429603e-03,6.059530225340327599e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.358333333334057897e+02,3.986223531055776287e-03,4.539043315003835066e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.360000000000725038e+02,2.312741144106243533e-03,3.146471728243438720e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.361666666667392178e+02,1.014121555286964403e-03,2.054258118398282276e-03,0.000000000000000000e+00
