S_fs,decay_tau_fs,rise_10_90_fs,beta_eff_inv_s,alpha_eff_inv_s,nu_rta_inv_s,lambda_ent_inv_s,beta_over_lambda
1050.0,376.7702451673907,803.0979185848264,2654137402903.7827,5471872175208.83,2654137402903.7827,1525423728813.5593,1.7399345196813687
1100.0,379.1186180553193,805.1118584238575,2637696890565.4863,5458184609620.972,2637696890565.4863,1525423728813.5593,1.7291568504818189
1150.0,382.0037768799355,807.7950593632995,2617775164862.576,5440054508548.397,2617775164862.576,1525423728813.5593,1.7160970525210222
1200.0,385.0932296548322,810.7763489816862,2596773775784.951,5420050992103.742,2596773775784.951,1525423728813.5593,1.7023294752368012
1250.0,388.1242831772706,813.7498902108055,2576494291503.176,5400245465512.796,2576494291503.176,1525423728813.5593,1.6890351466520819
1300.0,390.903994541762,816.491911309422,2558172886343.236,5382109845552.523,2558172886343.236,1525423728813.5593,1.6770244477138991
1350.0,393.27525827222087,818.8365184336144,2542748314229.854,5366699036675.548,2542748314229.854,1525423728813.5593,1.6669127837729043
1400.0,395.1848951136015,820.7331840062398,2530461088884.826,5354296914402.608,2530461088884.826,1525423728813.5593,1.6588578249356083
1450.0,396.6448747645856,822.2010256653011,2521146909041.7827,5344738108440.789,2521146909041.7827,1525423728813.5593,1.6527518625940576
1500.0,397.67416109029193,823.2679949426674,2514621511385.9253,5337811237249.019,2514621511385.9253,1525423728813.5593,1.648474101908551
