t_fs,lambda_t,tau_ent_t
2.629800000000000182e+03,4.750000000000000000e+15,2.674155000001098233e+04
2.630000000000000000e+03,4.750000000000000000e+15,2.674250000001098306e+04
2.630199999999999818e+03,4.750000000000000000e+15,2.674345000001098379e+04
2.630399999999999636e+03,4.750000000000000000e+15,2.674440000001098451e+04
2.630599999999999909e+03,4.750000000000000000e+15,2.674535000001098524e+04
2.630800000000000182e+03,4.750000000000000000e+15,2.674630000001098597e+04
2.631000000000000000e+03,4.750000000000000000e+15,2.674725000001098670e+04
2.631199999999999818e+03,4.750000000000000000e+15,2.674820000001098742e+04
2.631400000000000091e+03,4.750000000000000000e+15,2.674915000001098815e+04
2.631599999999999909e+03,4.750000000000000000e+15,2.675010000001098888e+04
2.631799999999999727e+03,4.750000000000000000e+15,2.675105000001098961e+04
2.632000000000000000e+03,4.750000000000000000e+15,2.675200000001099033e+04
2.632199999999999818e+03,4.750000000000000000e+15,2.675295000001099106e+04
2.632400000000000091e+03,4.750000000000000000e+15,2.675390000001099179e+04
2.632599999999999909e+03,4.750000000000000000e+15,2.675485000001099252e+04
2.632799999999999727e+03,4.750000000000000000e+15,2.675580000001099324e+04
2.633000000000000000e+03,4.750000000000000000e+15,2.675675000001099397e+04
2.633200000000000273e+03,4.750000000000000000e+15,2.675770000001099470e+04
2.633400000000000091e+03,4.750000000000000000e+15,2.675865000001099543e+04
2.633599999999999909e+03,4.750000000000000000e+15,2.675960000001099615e+04
2.633799999999999727e+03,4.750000000000000000e+15,2.676055000001099688e+04
2.634000000000000000e+03,4.750000000000000000e+15,2.676150000001099761e+04
2.634199999999999818e+03,4.750000000000000000e+15,2.676245000001099834e+04
2.634399999999999636e+03,4.750000000000000000e+15,2.676340000001099907e+04
2.634599999999999909e+03,4.750000000000000000e+15,2.676435000001099979e+04
2.634800000000000182e+03,4.750000000000000000e+15,2.676530000001100052e+04
2.635000000000000000e+03,4.750000000000000000e+15,2.676625000001100125e+04
2.635199999999999818e+03,4.750000000000000000e+15,2.676720000001100198e+04
2.635399999999999636e+03,4.750000000000000000e+15,2.676815000001100270e+04
2.635599999999999909e+03,4.750000000000000000e+15,2.676910000001100343e+04
2.635800000000000182e+03,4.750000000000000000e+15,2.677005000001100416e+04
2.636000000000000000e+03,4.750000000000000000e+15,2.677100000001100489e+04
2.636199999999999818e+03,4.750000000000000000e+15,2.677195000001100561e+04
2.636400000000000091e+03,4.750000000000000000e+15,2.677290000001100634e+04
2.636599999999999909e+03,4.750000000000000000e+15,2.677385000001100707e+04
2.636799999999999727e+03,4.750000000000000000e+15,2.677480000001100780e+04
2.636999999999999545e+03,4.750000000000000000e+15,2.677575000001100852e+04
2.637200000000000273e+03,4.750000000000000000e+15,2.677670000001100925e+04
2.637400000000000091e+03,4.750000000000000000e+15,2.677765000001100998e+04
2.637599999999999909e+03,4.750000000000000000e+15,2.677860000001101071e+04
2.637799999999999727e+03,4.750000000000000000e+15,2.677955000001101143e+04
2.638000000000000000e+03,4.750000000000000000e+15,2.678050000001101216e+04
2.638199999999999818e+03,4.750000000000000000e+15,2.678145000001101289e+04
2.638399999999999636e+03,4.750000000000000000e+15,2.678240000001101362e+04
2.638599999999999909e+03,4.750000000000000000e+15,2.678335000001101434e+04
2.638800000000000182e+03,4.750000000000000000e+15,2.678430000001101507e+04
2.639000000000000000e+03,4.750000000000000000e+15,2.678525000001101580e+04
