wavelength_nm,v_g_over_c,enhancement,V_standard,V_enz
1.012424849699398806e+03,7.572049824979557586e-01,1.320646354836551462e+00,4.493289641172215632e-01,3.476645906787924623e-01
1.014629258517034032e+03,7.559758371070933736e-01,1.322793601217094883e+00,4.493289641172215632e-01,3.470678861070336518e-01
1.016833667334669371e+03,7.547420100660033881e-01,1.324956060035068717e+00,4.493289641172215632e-01,3.464679891490358155e-01
1.019038076152304598e+03,7.535034783767300404e-01,1.327133886832608356e+00,4.493289641172215632e-01,3.458648768742196844e-01
1.021242484969939824e+03,7.522602188018792102e-01,1.329327239439425101e+00,4.493289641172215632e-01,3.452585261027739660e-01
1.023446893787575164e+03,7.510122078611839447e-01,1.331536278015921004e+00,4.493289641172215632e-01,3.446489134021997747e-01
1.025651302605210503e+03,7.497594218280079215e-01,1.333761165097297585e+00,4.493289641172215632e-01,3.440360150837979969e-01
1.027855711422845616e+03,7.485018367257806338e-01,1.336002065638694836e+00,4.493289641172215632e-01,3.434198071990949286e-01
1.030060120240480956e+03,7.472394283243657398e-01,1.338259147061381382e+00,4.493289641172215632e-01,3.428002655362076267e-01
1.032264529058116295e+03,7.459721721363617997e-01,1.340532579300026006e+00,4.493289641172215632e-01,3.421773656161469779e-01
1.034468937875751408e+03,7.447000434133321800e-01,1.342822534851080052e+00,4.493289641172215632e-01,3.415510826890583163e-01
1.036673346693386748e+03,7.434230171419600186e-01,1.345129188822311361e+00,4.493289641172215632e-01,3.409213917303942631e-01
1.038877755511022087e+03,7.421410680401340221e-01,1.347452718983503717e+00,4.493289641172215632e-01,3.402882674370248384e-01
1.041082164328657200e+03,7.408541705529544386e-01,1.349793305818371536e+00,4.493289641172215632e-01,3.396516842232780165e-01
1.043286573146292540e+03,7.395622988486640903e-01,1.352151132577715353e+00,4.493289641172215632e-01,3.390116162169122260e-01
1.045490981963927879e+03,7.382654268144993592e-01,1.354526385333855609e+00,4.493289641172215632e-01,3.383680372550183502e-01
1.047695390781563219e+03,7.369635280524597931e-01,1.356919253036381390e+00,4.493289641172215632e-01,3.377209208798506168e-01
1.049899799599198332e+03,7.356565758749947781e-01,1.359329927569251195e+00,4.493289641172215632e-01,3.370702403345836595e-01
1.052104208416833671e+03,7.343445433006055012e-01,1.361758603809285484e+00,4.493289641172215632e-01,3.364159685589955262e-01
1.054308617234469011e+03,7.330274030493586501e-01,1.364205479686091183e+00,4.493289641172215632e-01,3.357580781850741936e-01
1.056513026052104124e+03,7.317051275383129605e-01,1.366670756243455243e+00,4.493289641172215632e-01,3.350965415325475871e-01
1.058717434869739463e+03,7.303776888768509501e-01,1.369154637702261645e+00,4.493289641172215632e-01,3.344313306043326106e-01
1.060921843687374803e+03,7.290450588619202810e-01,1.371657331524961387e+00,4.493289641172215632e-01,3.337624170819041836e-01
1.063126252505010143e+03,7.277072089731769777e-01,1.374179048481653398e+00,4.493289641172215632e-01,3.330897723205820116e-01
1.065330661322645255e+03,7.263641103680309463e-01,1.376720002717816582e+00,4.493289641172215632e-01,3.324133673447329240e-01
1.067535070140280595e+03,7.250157338765899073e-01,1.379280411823748276e+00,4.493289641172215632e-01,3.317331728428863924e-01
1.069739478957915708e+03,7.236620499965017439e-01,1.381860496905750635e+00,4.493289641172215632e-01,3.310491591627636176e-01
1.071943887775551048e+03,7.223030288876874927e-01,1.384460482659130909e+00,4.493289641172215632e-01,3.303612963062159680e-01
1.074148296593186387e+03,7.209386403669699739e-01,1.387080597443054231e+00,4.493289641172215632e-01,3.296695539240724337e-01
1.076352705410821727e+03,7.195688539025870689e-01,1.389721073357320202e+00,4.493289641172215632e-01,3.289739013108933241e-01
1.078557114228456840e+03,7.181936386085924218e-01,1.392382146321110570e+00,4.493289641172215632e-01,3.282743073996290950e-01
1.080761523046092179e+03,7.168129632391394557e-01,1.395064056153773935e+00,4.493289641172215632e-01,3.275707407561815332e-01
1.082965931863727519e+03,7.154267961826434874e-01,1.397767046657708567e+00,4.493289641172215632e-01,3.268631695738649645e-01
