t_s,tau_ent_s,lambda_s_inv,norm2
3.0249999999999927e-13,0.3025000000000002,1000000000000.0,0.546074254569257
3.0499999999999926e-13,0.3050000000000002,1000000000000.0,0.5433506964472752
3.0749999999999925e-13,0.3075000000000002,1000000000000.0,0.540640722135154
3.0999999999999923e-13,0.3100000000000002,1000000000000.0,0.5379442638833237
3.124999999999992e-13,0.3125000000000002,1000000000000.0,0.5352612542801177
3.149999999999992e-13,0.3150000000000002,1000000000000.0,0.5325916262500859
3.174999999999992e-13,0.3175000000000002,1000000000000.0,0.5299353130523193
3.199999999999992e-13,0.32000000000000023,1000000000000.0,0.5272922482787803
3.224999999999992e-13,0.32250000000000023,1000000000000.0,0.524662365852643
3.2499999999999917e-13,0.32500000000000023,1000000000000.0,0.5220456000266414
3.2749999999999916e-13,0.32750000000000024,1000000000000.0,0.5194418853814253
3.2999999999999915e-13,0.33000000000000024,1000000000000.0,0.5168511568239254
3.3249999999999914e-13,0.33250000000000024,1000000000000.0,0.514273349585725
3.3499999999999913e-13,0.33500000000000024,1000000000000.0,0.5117083992214421
3.374999999999991e-13,0.33750000000000024,1000000000000.0,0.5091562416071169
3.399999999999991e-13,0.34000000000000025,1000000000000.0,0.5066168129386099
3.424999999999991e-13,0.34250000000000025,1000000000000.0,0.5040900497300059
3.449999999999991e-13,0.34500000000000025,1000000000000.0,0.5015758888120272
3.4749999999999907e-13,0.34750000000000025,1000000000000.0,0.4990742673304545
3.4999999999999906e-13,0.35000000000000026,1000000000000.0,0.4965851227445555
3.5249999999999905e-13,0.35250000000000026,1000000000000.0,0.4941083928255208
3.5499999999999904e-13,0.35500000000000026,1000000000000.0,0.491644015654909
3.5749999999999903e-13,0.35750000000000026,1000000000000.0,0.48919192962309843
3.59999999999999e-13,0.36000000000000026,1000000000000.0,0.48675207342774657
3.62499999999999e-13,0.36250000000000027,1000000000000.0,0.48432438607225814
3.64999999999999e-13,0.36500000000000027,1000000000000.0,0.48190880686425935
3.67499999999999e-13,0.36750000000000027,1000000000000.0,0.4795052754140814
3.69999999999999e-13,0.3700000000000003,1000000000000.0,0.47711373163325027
3.7249999999999897e-13,0.3725000000000003,1000000000000.0,0.4747341157329844
3.7499999999999896e-13,0.3750000000000003,1000000000000.0,0.47236636822270067
3.7749999999999895e-13,0.3775000000000003,1000000000000.0,0.4700104299085263
3.7999999999999894e-13,0.3800000000000003,1000000000000.0,0.46766624189181927
3.8249999999999893e-13,0.3825000000000003,1000000000000.0,0.46533374556769597
3.849999999999989e-13,0.3850000000000003,1000000000000.0,0.46301288262356605
