series,delay_fs,reflectivity
modelled,-4354.35435435435,0.0938496767836933
modelled,-4334.33433433433,0.0938496767836933
modelled,-4314.31431431431,0.0938496767836933
modelled,-4294.29429429429,0.0938496767836933
modelled,-4274.27427427427,0.0938496767836933
modelled,-4254.25425425425,0.0938496767836933
modelled,-4234.23423423423,0.0938496767836933
modelled,-4214.21421421421,0.0938496767836933
modelled,-4194.19419419419,0.0938496767836933
modelled,-4174.17417417417,0.0938496767836933
modelled,-4154.15415415415,0.0938496767836933
modelled,-4134.13413413413,0.0938496767836933
modelled,-4114.11411411411,0.0938496767836933
modelled,-4094.09409409409,0.0938496767836933
modelled,-4074.07407407407,0.0938496767836933
modelled,-4054.05405405405,0.0938496767836933
modelled,-4034.03403403403,0.0938496767836933
modelled,-4014.01401401401,0.0938496767836933
modelled,-3993.99399399399,0.0938496767836933
modelled,-3973.97397397397,0.0938496767836933
modelled,-3953.95395395395,0.0938496767836933
modelled,-3933.93393393393,0.0938496767836933
modelled,-3913.91391391391,0.0938496767836933
modelled,-3893.89389389389,0.0938496767836933
modelled,-3873.87387387387,0.0938496767836933
modelled,-3853.85385385385,0.0938496767836933
modelled,-3833.83383383383,0.0938496767836933
modelled,-3813.81381381381,0.0938496767836933
modelled,-3793.79379379379,0.0938496767836933
modelled,-3773.77377377377,0.0938496767836933
modelled,-3753.75375375375,0.0938496767836933
modelled,-3733.73373373373,0.0938496767836933
modelled,-3713.71371371371,0.0938496767836933
modelled,-3693.69369369369,0.0938496767836933
modelled,-3673.67367367367,0.0938496767836933
modelled,-3653.65365365365,0.0938496767836933
modelled,-3633.63363363363,0.0938496767836933
modelled,-3613.61361361361,0.0938496767836933
modelled,-3593.59359359359,0.0938496767836933
modelled,-3573.57357357357,0.0938496767836933
modelled,-3553.55355355355,0.0938496767836933
modelled,-3533.53353353353,0.0938496767836933
modelled,-3513.51351351351,0.0938496767836933
modelled,-3493.49349349349,0.0938496767836933
modelled,-3473.47347347347,0.0938496767836933
modelled,-3453.45345345345,0.0938496767836933
modelled,-3433.43343343343,0.0938496767836933
modelled,-3413.41341341341,0.0938496767836933
modelled,-3393.39339339339,0.0938496767836933
modelled,-3373.37337337337,0.0938496767836933
modelled,-3353.35335335335,0.0938496767836933
modelled,-3333.33333333333,0.0938496767836933
modelled,-3313.31331331331,0.0938496767836933
modelled,-3293.29329329329,0.0938496767836933
modelled,-3273.27327327327,0.0938496767836933
modelled,-3253.25325325325,0.0938496767836933
modelled,-3233.23323323323,0.0938496767836933
modelled,-3213.21321321321,0.0938496767836933
modelled,-3193.19319319319,0.0938496767836933
modelled,-3173.17317317317,0.0938496767836933
modelled,-3153.15315315315,0.0938496767836933
modelled,-3133.13313313313,0.0938496767836933
modelled,-3113.11311311311,0.0938496767836933
modelled,-3093.09309309309,0.0938496767836933
modelled,-3073.07307307307,0.0938496767836933
modelled,-3053.05305305305,0.0938496767836933
modelled,-3033.03303303303,0.0938496767836933
modelled,-3013.01301301301,0.0938496767836933
modelled,-2992.99299299299,0.0938496767836933
modelled,-2972.97297297297,0.0938496767836933
modelled,-2952.95295295295,0.0938496767836933
modelled,-2932.93293293293,0.0938496767836933
modelled,-2912.91291291291,0.0938496767836933
modelled,-2892.89289289289,0.0938496767836933
modelled,-2872.87287287287,0.0938496767836933
modelled,-2852.85285285285,0.0938496767836933
modelled,-2832.83283283283,0.0938496767836933
modelled,-2812.81281281281,0.0938496767836933
modelled,-2792.79279279279,0.0938496767836933
modelled,-2772.77277277277,0.0938496767836933
modelled,-2752.75275275275,0.0938496767836933
modelled,-2732.73273273273,0.0938496767836933
